titles,addresses,clean_addresses,lat,long
WESTFIELD MONTGOMERY,"7101 DEMOCRACY BOULEVARD, BETHESDA, MD,  20817","7101 DEMOCRACY BOULEVARD, BETHESDA, MD,  20817",39.02203,-77.146416
TYSONS CORNER CENTER,"7966 TYSONS CORNER CTR, MCLEAN, VA,  22102-4500","7966 TYSONS CORNER CTR, MCLEAN, VA,  22102-4500",38.91697585,-77.22182160532336
FASHION CENTRE AT PENTAGON CITY,"1100 S HAYES STREET,SP 0G07B, ARLINGTON, VA,  22202-4907","1100 S HAYES STREET,SP 0G07B, ARLINGTON, VA,  22202-4907",38.86334,-77.0605
POTOMAC MILLS,"2700 POTOMAC MILLS CIR STE 767, WOODBRIDGE, VA,  22192-4673","2700 POTOMAC MILLS CIR STE 767, WOODBRIDGE, VA,  22192-4673",38.6393465,-77.2960391
ARUNDEL MILLS,"7000 ARUNDEL MILLS CIR STE 420, HANOVER, MD,  21076-1293","7000 ARUNDEL MILLS CIR STE 420, HANOVER, MD,  21076-1293",39.15595,-76.72775
WESTFIELD ANNAPOLIS,"1260 ANNAPOLIS MALL, ANNAPOLIS, MD,  21401-3075","1260 ANNAPOLIS MALL, ANNAPOLIS, MD,  21401-3075",38.99143,-76.54692
CHRISTIANA MALL,"132 CHRISTIANA MALL, #1547, NEWARK, DE,  19702-3202","132 CHRISTIANA MALL, NEWARK, DE,  19702-3202",39.6784196,-75.65239689667357
KING OF PRUSSIA MALL,"160 N. GULPH RD - SPACE 1918, KING OF PRUSSIA, PA,  19406-2911","160 N. GULPH RD - SPACE 1918, KING OF PRUSSIA, PA,  19406-2911",40.08827,-75.39174
CHERRY HILL MALL,"2000 RTE 38 UNIT 1095, CHERRY HILL, NJ,  08002-2122","2000 RTE 38 UNIT 1095, CHERRY HILL, NJ,  08002-2122",39.941160000000004,-75.02541
BRIDGEWATER COMMONS,"400 COMMONS WAY, BRIDGEWATER, NJ,  08807-2800","400 COMMONS WAY, BRIDGEWATER, NJ,  08807-2800",40.585606,-74.61517
FREEHOLD RACEWAY MALL,"3710 ROUTE 9, FREEHOLD, NJ,  07728-4800","3710 ROUTE 9, FREEHOLD, NJ,  07728-4800",40.245892,-74.282532
ROSS PARK MALL,"1000 ROSS PARK MALL DRIVE, PITTSBURGH, PA,  15237","1000 ROSS PARK MALL DRIVE, PITTSBURGH, PA,  15237",40.54313,-80.00862
STATEN ISLAND MALL,"2655 RICHMOND AVE, UNIT 1285, NEW YORK, NY,  10314","2655 RICHMOND AVE, UNIT 1285, NEW YORK, NY,  10314",40.58209,-74.16608
THE MILLS AT JERSEY GARDENS,"651 KAPKOWSKI ROAD, #1462, ELIZABETH, NJ,  07201-4934","651 KAPKOWSKI ROAD, ELIZABETH, NJ,  07201-4934",40.660774,-74.17615
FLATIRON DISTRICT,"200 5TH AVENUE, NEW YORK, NY,  10010-3302","200 5TH AVENUE, NEW YORK, NY,  10010-3302",40.74158,-73.98956
